text,section
"Master of Science in Data Science, Delhi University, 2024",education
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
"Docker, Kubernetes, Jenkins, Git",skills
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
"AWS, Azure, Firebase, REST API",skills
"Freelance Web Developer, completed 10+ client projects using MERN stack",experience
Software Developer at TCS from 2022 to 2023,experience
Google Data Analytics Professional Certificate,certifications
"Master of Science in Data Science, Delhi University, 2024",education
"Diploma in Web Development from NIIT, 2021",education
Top 1% scorer in TCS CodeVita 2022,achievements
Google Data Analytics Professional Certificate,certifications
Passionate software developer with a keen interest in full-stack development and AI applications,summary
Secured 2nd place in CodeChef LPU coding contest,achievements
Coursera: Deep Learning Specialization by Andrew Ng,certifications
Coursera: Deep Learning Specialization by Andrew Ng,certifications
"HTML, CSS, JavaScript, Node.js, Express",skills
Completed 12th CBSE with 92% in 2018,education
"AWS, Azure, Firebase, REST API",skills
Top 1% scorer in TCS CodeVita 2022,achievements
Coursera: Deep Learning Specialization by Andrew Ng,certifications
"AWS, Azure, Firebase, REST API",skills
"Bachelor of Technology in Computer Science from LPU, 2022",education
"AWS Certified Cloud Practitioner, 2023",certifications
"Bachelor of Technology in Computer Science from LPU, 2022",education
Aspiring data scientist with a focus on predictive analytics and ML,summary
Published a research paper in IEEE on IoT security,achievements
"Freelance Web Developer, completed 10+ client projects using MERN stack",experience
Full Stack Web Development Certification from freeCodeCamp,certifications
"Bachelor of Technology in Computer Science from LPU, 2022",education
Designed a job portal web app for students using Node.js and MongoDB,projects
Completed 12th CBSE with 92% in 2018,education
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
Winner of Smart India Hackathon 2023,achievements
Passionate software developer with a keen interest in full-stack development and AI applications,summary
"Diploma in Web Development from NIIT, 2021",education
Google Data Analytics Professional Certificate,certifications
Built a weather forecast app using React and OpenWeather API,projects
Coursera: Deep Learning Specialization by Andrew Ng,certifications
LinkedIn: linkedin.com/in/rajeev-ranjan,contact
"Interned at Infosys, worked on a chatbot project using Python and Dialogflow",experience
"AWS, Azure, Firebase, REST API",skills
"AWS Certified Cloud Practitioner, 2023",certifications
Google Data Analytics Professional Certificate,certifications
Winner of Smart India Hackathon 2023,achievements
"Interned at Infosys, worked on a chatbot project using Python and Dialogflow",experience
Google Data Analytics Professional Certificate,certifications
Creative and enthusiastic programmer always eager to learn new technologies,summary
LinkedIn: linkedin.com/in/rajeev-ranjan,contact
Created a personal finance tracker in Python with SQLite,projects
"Java, Python, React, MongoDB, SQL",skills
Designed a job portal web app for students using Node.js and MongoDB,projects
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
"Docker, Kubernetes, Jenkins, Git",skills
"Location: Jalandhar, Punjab, India",contact
Creative and enthusiastic programmer always eager to learn new technologies,summary
Software Developer at TCS from 2022 to 2023,experience
"Java, Python, React, MongoDB, SQL",skills
"Interned at Infosys, worked on a chatbot project using Python and Dialogflow",experience
"Email: rajeev@example.com, Phone: +91-9876543210",contact
"Freelance Web Developer, completed 10+ client projects using MERN stack",experience
Software Developer at TCS from 2022 to 2023,experience
Created a personal finance tracker in Python with SQLite,projects
Designed a job portal web app for students using Node.js and MongoDB,projects
Passionate software developer with a keen interest in full-stack development and AI applications,summary
Coursera: Deep Learning Specialization by Andrew Ng,certifications
Software Developer at TCS from 2022 to 2023,experience
Full Stack Web Development Certification from freeCodeCamp,certifications
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
"Freelance Web Developer, completed 10+ client projects using MERN stack",experience
"Bachelor of Technology in Computer Science from LPU, 2022",education
"Location: Jalandhar, Punjab, India",contact
Published a research paper in IEEE on IoT security,achievements
Creative and enthusiastic programmer always eager to learn new technologies,summary
Designed a job portal web app for students using Node.js and MongoDB,projects
Coursera: Deep Learning Specialization by Andrew Ng,certifications
"Master of Science in Data Science, Delhi University, 2024",education
Designed a job portal web app for students using Node.js and MongoDB,projects
Coursera: Deep Learning Specialization by Andrew Ng,certifications
Coursera: Deep Learning Specialization by Andrew Ng,certifications
Passionate software developer with a keen interest in full-stack development and AI applications,summary
Aspiring data scientist with a focus on predictive analytics and ML,summary
"Bachelor of Technology in Computer Science from LPU, 2022",education
Creative and enthusiastic programmer always eager to learn new technologies,summary
Full Stack Web Development Certification from freeCodeCamp,certifications
"AWS, Azure, Firebase, REST API",skills
Google Data Analytics Professional Certificate,certifications
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
"AWS, Azure, Firebase, REST API",skills
"Location: Jalandhar, Punjab, India",contact
Creative and enthusiastic programmer always eager to learn new technologies,summary
"AWS Certified Cloud Practitioner, 2023",certifications
"AWS, Azure, Firebase, REST API",skills
Completed 12th CBSE with 92% in 2018,education
Aspiring data scientist with a focus on predictive analytics and ML,summary
"Freelance Web Developer, completed 10+ client projects using MERN stack",experience
Passionate software developer with a keen interest in full-stack development and AI applications,summary
"Location: Jalandhar, Punjab, India",contact
"Location: Jalandhar, Punjab, India",contact
"AWS, Azure, Firebase, REST API",skills
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
Full Stack Web Development Certification from freeCodeCamp,certifications
Google Data Analytics Professional Certificate,certifications
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
Published a research paper in IEEE on IoT security,achievements
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
Built a weather forecast app using React and OpenWeather API,projects
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
"AWS Certified Cloud Practitioner, 2023",certifications
"Docker, Kubernetes, Jenkins, Git",skills
"AWS Certified Cloud Practitioner, 2023",certifications
Winner of Smart India Hackathon 2023,achievements
Google Data Analytics Professional Certificate,certifications
"Bachelor of Technology in Computer Science from LPU, 2022",education
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
"Bachelor of Technology in Computer Science from LPU, 2022",education
"Diploma in Web Development from NIIT, 2021",education
Aspiring data scientist with a focus on predictive analytics and ML,summary
LinkedIn: linkedin.com/in/rajeev-ranjan,contact
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
"Bachelor of Technology in Computer Science from LPU, 2022",education
"Location: Jalandhar, Punjab, India",contact
"Java, Python, React, MongoDB, SQL",skills
Top 1% scorer in TCS CodeVita 2022,achievements
Built a weather forecast app using React and OpenWeather API,projects
Detail-oriented BTech student with strong problem-solving and teamwork skills,summary
"HTML, CSS, JavaScript, Node.js, Express",skills
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
LinkedIn: linkedin.com/in/rajeev-ranjan,contact
"AWS, Azure, Firebase, REST API",skills
"AWS, Azure, Firebase, REST API",skills
"Diploma in Web Development from NIIT, 2021",education
"HTML, CSS, JavaScript, Node.js, Express",skills
"Diploma in Web Development from NIIT, 2021",education
"Docker, Kubernetes, Jenkins, Git",skills
Full Stack Web Development Certification from freeCodeCamp,certifications
Developed a hostel room allocation system using MERN stack,projects
"Bachelor of Technology in Computer Science from LPU, 2022",education
"Email: rajeev@example.com, Phone: +91-9876543210",contact
"Location: Jalandhar, Punjab, India",contact
Google Data Analytics Professional Certificate,certifications
"Master of Science in Data Science, Delhi University, 2024",education
"HTML, CSS, JavaScript, Node.js, Express",skills
"Email: rajeev@example.com, Phone: +91-9876543210",contact
Top 1% scorer in TCS CodeVita 2022,achievements
Google Data Analytics Professional Certificate,certifications
"Email: rajeev@example.com, Phone: +91-9876543210",contact
Secured 2nd place in CodeChef LPU coding contest,achievements
"Java, Python, React, MongoDB, SQL",skills
"Diploma in Web Development from NIIT, 2021",education
"HTML, CSS, JavaScript, Node.js, Express",skills
Passionate software developer with a keen interest in full-stack development and AI applications,summary
Winner of Smart India Hackathon 2023,achievements
Software Developer at TCS from 2022 to 2023,experience
"Docker, Kubernetes, Jenkins, Git",skills
Built a weather forecast app using React and OpenWeather API,projects
"AWS, Azure, Firebase, REST API",skills
Created a personal finance tracker in Python with SQLite,projects
Coursera: Deep Learning Specialization by Andrew Ng,certifications
Full Stack Web Development Certification from freeCodeCamp,certifications
"Portfolio: rajeev.dev, GitHub: github.com/rajeev12R",contact
"HTML, CSS, JavaScript, Node.js, Express",skills
Passionate software developer with a keen interest in full-stack development and AI applications,summary
"Diploma in Web Development from NIIT, 2021",education
"AWS, Azure, Firebase, REST API",skills
"HTML, CSS, JavaScript, Node.js, Express",skills
"Master of Science in Data Science, Delhi University, 2024",education
"Java, Python, React, MongoDB, SQL",skills
Completed 12th CBSE with 92% in 2018,education
Aspiring data scientist with a focus on predictive analytics and ML,summary
Secured 2nd place in CodeChef LPU coding contest,achievements
Created a personal finance tracker in Python with SQLite,projects
Aspiring data scientist with a focus on predictive analytics and ML,summary
Designed a job portal web app for students using Node.js and MongoDB,projects
"Java, Python, React, MongoDB, SQL",skills
"Freelance Web Developer, completed 10+ client projects using MERN stack",experience
Coursera: Deep Learning Specialization by Andrew Ng,certifications
Completed 12th CBSE with 92% in 2018,education
"Java, Python, React, MongoDB, SQL",skills
"Email: rajeev@example.com, Phone: +91-9876543210",contact
Developed a hostel room allocation system using MERN stack,projects
"AWS Certified Cloud Practitioner, 2023",certifications
"Location: Jalandhar, Punjab, India",contact
Software Developer at TCS from 2022 to 2023,experience
"Diploma in Web Development from NIIT, 2021",education
Winner of Smart India Hackathon 2023,achievements
"Bachelor of Technology in Computer Science from LPU, 2022",education
Completed 12th CBSE with 92% in 2018,education
"Master of Science in Data Science, Delhi University, 2024",education
Built a weather forecast app using React and OpenWeather API,projects
Coursera: Deep Learning Specialization by Andrew Ng,certifications
"Freelance Web Developer, completed 10+ client projects using MERN stack",experience
"Location: Jalandhar, Punjab, India",contact
Aspiring data scientist with a focus on predictive analytics and ML,summary
Aspiring data scientist with a focus on predictive analytics and ML,summary
Software Developer at TCS from 2022 to 2023,experience
"Location: Jalandhar, Punjab, India",contact
Google Data Analytics Professional Certificate,certifications
Passionate software developer with a keen interest in full-stack development and AI applications,summary
Completed 12th CBSE with 92% in 2018,education
Built a weather forecast app using React and OpenWeather API,projects
Full Stack Web Development Certification from freeCodeCamp,certifications
Software Developer at TCS from 2022 to 2023,experience
